team,b_max,r_mean,g_mean,b_mean,a_mean,r_med,g_med,b_med,a_med
belmont-bruins,255,161.5712319607372,125.7463694259246,152.8205843974578,251.65606112737683,161.5712319607372,125.7463694259246,152.8205843974578,251.65606112737683
temple-owls,255,196.94540302360429,68.76882334614186,104.95958636855926,254.55138495319198,196.94540302360429,68.76882334614186,104.95958636855926,254.55138495319198
north-carolina-central-eagles,255,158.99349002687256,142.2927406229893,147.59006093637637,251.34215207600016,158.99349002687256,142.2927406229893,147.59006093637637,251.34215207600016
north-dakota-state-bison,255,91.69127995435527,128.851432737416,61.55558197033093,252.10778813236973,91.69127995435527,128.851432737416,61.55558197033093,252.10778813236973
arizona-state-sun-devils,60,196.95592177889924,103.31685328286811,51.17024128686327,244.01592808705252,196.95592177889924,103.31685328286811,51.17024128686327,244.01592808705252
fairleigh-dickinson-knights,255,87.31652620078818,109.53877443521012,157.23402200632097,251.2323832377385,87.31652620078818,109.53877443521012,157.23402200632097,251.2323832377385
duke-blue-devils,134,0.0,47.0,134.0,253.54521768177264,0.0,47.0,134.0,253.54521768177264
vcu-rams,255,169.28227272086897,152.93574336794353,117.94853552359082,253.4788464518674,169.28227272086897,152.93574336794353,117.94853552359082,253.4788464518674
ucf-knights,255,132.11143767945558,119.96970450588954,97.74594741244829,253.51021907711785,132.11143767945558,119.96970450588954,97.74594741244829,253.51021907711785
mississippi-state-bulldogs,255,155.14008791907207,104.90453895450453,106.04019914199459,252.8931518457709,155.14008791907207,104.90453895450453,106.04019914199459,252.8931518457709
liberty-flames,255,133.41123233232108,116.91556255389345,145.50792186855622,253.71449030855172,133.41123233232108,116.91556255389345,145.50792186855622,253.71449030855172
virginia-tech-hokies,255,149.06477184841455,80.01337973704563,86.66328306264501,250.72739752513533,149.06477184841455,80.01337973704563,86.66328306264501,250.72739752513533
saint-louis-billikens,255,163.37557981873974,180.50428887461644,212.48649111539285,253.4757368158139,163.37557981873974,180.50428887461644,212.48649111539285,253.4757368158139
maryland-terrapins,255,184.5652597549738,56.013112376693805,48.060644742208865,251.5254241128752,184.5652597549738,56.013112376693805,48.060644742208865,251.5254241128752
lsu-tigers,123,109.50616852407781,82.63496730682239,98.96889007690093,248.8526133980343,109.50616852407781,82.63496730682239,98.96889007690093,248.8526133980343
yale-bulldogs,255,83.00786039930829,118.61387869091985,162.11950581207174,249.50571034890925,83.00786039930829,118.61387869091985,162.11950581207174,249.50571034890925
louisville-cardinals,255,140.10576060999622,45.34608906950438,24.937626209728098,252.79690812350748,140.10576060999622,45.34608906950438,24.937626209728098,252.79690812350748
minnesota-golden-gophers,55,172.6383949264675,51.203636593485314,34.85170241456323,251.8082044583035,172.6383949264675,51.203636593485314,34.85170241456323,251.8082044583035
michigan-state-spartans,59,28.0,69.0,59.0,248.53890314245683,28.0,69.0,59.0,248.53890314245683
bradley-braves,255,237.1382319143549,164.5602508585934,174.43935311722964,254.0557679947543,237.1382319143549,164.5602508585934,174.43935311722964,254.0557679947543
gonzaga-bulldogs,255,147.89639706283143,154.10733279864198,174.61376077493907,252.85200470320737,147.89639706283143,154.10733279864198,174.61376077493907,252.85200470320737
prairie-view-am-panthers,255,89.22903444576033,79.66813438199063,65.21681698096019,252.21940825767007,89.22903444576033,79.66813438199063,65.21681698096019,252.21940825767007
syracuse-orange,98,200.16303083755454,110.6270536905942,57.806069167908966,252.65618975515716,200.16303083755454,110.6270536905942,57.806069167908966,252.65618975515716
baylor-bears,87,88.24754573252508,111.65313913774297,62.79107880478515,252.81279616615703,88.24754573252508,111.65313913774297,62.79107880478515,252.81279616615703
marquette-golden-eagles,255,163.89084676297213,158.90362916487464,107.9440445771245,253.3914159941306,163.89084676297213,158.90362916487464,107.9440445771245,253.3914159941306
murray-state-racers,255,147.00542529638892,131.0991741157447,59.820111377254555,252.6443710660934,147.00542529638892,131.0991741157447,59.820111377254555,252.6443710660934
florida-state-seminoles,255,133.94088880529384,116.98404094637188,115.17681491487555,253.89868850777148,133.94088880529384,116.98404094637188,115.17681491487555,253.89868850777148
vermont-catamounts,255,102.7488095750635,111.7097257502045,63.71746674129246,251.59701209798942,102.7488095750635,111.7097257502045,63.71746674129246,251.59701209798942
buffalo-bulls,255,69.69051923887095,136.84638744558347,191.57928135093385,252.35918410335628,69.69051923887095,136.84638744558347,191.57928135093385,252.35918410335628
st-johns-red-storm,66,113.87797587742365,17.433689211458223,33.70065039795239,250.80740506994846,113.87797587742365,17.433689211458223,33.70065039795239,250.80740506994846
texas-tech-red-raiders,255,121.14566723948502,67.35270586246725,64.79391920443982,253.14937882074543,121.14566723948502,67.35270586246725,64.79391920443982,253.14937882074543
northern-kentucky-norse,255,151.1156060500453,136.96599986059803,102.79144071931414,251.81901442810343,151.1156060500453,136.96599986059803,102.79144071931414,251.81901442810343
nevada-wolf-pack,98,0.0,45.0,98.0,244.73378839590444,0.0,45.0,98.0,244.73378839590444
florida-gators,255,83.31166225521133,124.2791838964611,120.94322880853028,253.3255748236203,83.31166225521133,124.2791838964611,120.94322880853028,253.3255748236203
michigan-wolverines,98,211.89484220968995,182.1093226322516,19.89413615279429,253.46385256817024,211.89484220968995,182.1093226322516,19.89413615279429,253.46385256817024
montana-grizzlies,75,162.0,31.0,75.0,245.31894060995185,162.0,31.0,75.0,245.31894060995185
virginia-cavaliers,255,246.70227856860419,160.92867734282325,115.96989916963227,241.79119711348358,246.70227856860419,160.92867734282325,115.96989916963227,241.79119711348358
gardner-webb-bulldogs,255,170.11321186881833,133.87122332118687,136.58218636127017,252.30514315460698,170.11321186881833,133.87122332118687,136.58218636127017,252.30514315460698
ole-miss-rebels,72,157.89779465426017,20.549500547345374,52.02858739281153,249.51359241014413,157.89779465426017,20.549500547345374,52.02858739281153,249.51359241014413
oklahoma-sooners,56,178.0,8.0,56.0,251.31298523194795,178.0,8.0,56.0,251.31298523194795
wisconsin-badgers,255,174.24982850597067,33.56720900959701,33.56720900959701,252.66634254850118,174.24982850597067,33.56720900959701,33.56720900959701,252.66634254850118
oregon-ducks,73,0.0,111.0,73.0,251.31071105949155,0.0,111.0,73.0,251.31071105949155
kansas-state-wildcats,118,72.0,13.0,118.0,249.92481102115667,72.0,13.0,118.0,249.92481102115667
uc-irvine-anteaters,63,106.20637988928215,97.0414828931845,56.42605499591615,250.54100190579908,106.20637988928215,97.0414828931845,56.42605499591615,250.54100190579908
villanova-wildcats,255,62.57483625073044,119.82602021682061,167.45547153684467,253.5333647313291,62.57483625073044,119.82602021682061,167.45547153684467,253.5333647313291
saint-mary's-gaels,255,83.49381863388355,101.83761309482699,132.95657158643553,247.53075488638717,83.49381863388355,101.83761309482699,132.95657158643553,247.53075488638717
purdue-boilermakers,166,150.58578949253302,142.65727178311786,116.60251405651255,252.84384438157315,150.58578949253302,142.65727178311786,116.60251405651255,252.84384438157315
old-dominion-monarchs,255,109.82100235320485,145.80356342447334,170.01850347377857,253.42445231958763,109.82100235320485,145.80356342447334,170.01850347377857,253.42445231958763
cincinnati-bearcats,55,75.58246698510817,29.744872155099745,36.81132340545097,247.55893509412758,75.58246698510817,29.744872155099745,36.81132340545097,247.55893509412758
iowa-hawkeyes,0,0.0,0.0,0.0,248.52905560771188,0.0,0.0,0.0,248.52905560771188
tennessee-volunteers,4,253.0,130.0,4.0,253.71486681411673,253.0,130.0,4.0,253.71486681411673
colgate-raiders,255,149.74552644587246,103.66237678462389,115.91184903026955,253.74892268326016,149.74552644587246,103.66237678462389,115.91184903026955,253.74892268326016
north-carolina-tar-heels,255,159.05176328644083,192.67489170597648,223.83757153270605,251.36876104934186,159.05176328644083,192.67489170597648,223.83757153270605,251.36876104934186
iona-gaels,60,156.12444822197241,83.93630905053053,42.142982480190824,246.48888218682313,156.12444822197241,83.93630905053053,42.142982480190824,246.48888218682313
utah-state-aggies,186,35.86760053363827,72.4253097007814,98.36033924147132,248.83819325328759,35.86760053363827,72.4253097007814,98.36033924147132,248.83819325328759
